ProductID,Name,Brand,Color,Depth,Height,Width,Weight,Price,Warranty,StockAvailability,TextualDescription,CategoryID,Stock,SoldQuantity
PROD001,Conditioner,Anderson Inc,Tan,0.2,0.15,0.24,8.19,45.3,4,99.0,A premium quality Conditioner designed for exceptional performance and durability in beauty applications.,CAT007,100,1.0
PROD002,Smartphone,Myers-Villarreal,Aquamarine,0.83,1.01,0.96,3.53,176.33,5,98.0,A premium quality Smartphone designed for exceptional performance and durability in electronics applications.,CAT001,100,2.0
PROD003,Tablet,"Jennings, Dickson and Hernandez",Ivory,0.47,1.25,0.17,3.21,558.34,2,97.0,A premium quality Tablet designed for exceptional performance and durability in electronics applications.,CAT001,100,3.0
PROD004,Lamp,"Mckinney, Wilkerson and Cummings",FireBrick,1.7,1.42,0.63,1.75,114.44,5,95.0,A premium quality Lamp designed for exceptional performance and durability in home applications.,CAT004,100,5.0
PROD005,Building Blocks,Avery and Sons,CornflowerBlue,0.2,0.71,0.15,1.96,16.17,4,96.0,A premium quality Building Blocks designed for exceptional performance and durability in toys applications.,CAT005,100,4.0
PROD006,Board Game,Frost-Warren,Coral,0.1,0.47,0.37,6.64,8.01,4,93.0,A premium quality Board Game designed for exceptional performance and durability in toys applications.,CAT005,100,7.0
PROD007,Curtains,Johnson-Gray,Magenta,0.74,0.78,1.4,7.74,39.0,2,96.0,A premium quality Curtains designed for exceptional performance and durability in home applications.,CAT004,100,4.0
PROD008,Conditioner,"Santana, Mercado and Morrow",DarkTurquoise,0.25,0.41,0.11,3.59,37.81,3,92.0,A premium quality Conditioner designed for exceptional performance and durability in beauty applications.,CAT007,100,8.0
PROD009,Kids' Jacket,"Jones, Ortiz and Hunter",RosyBrown,0.47,1.27,0.75,0.73,10.46,3,93.0,A premium quality Kids' Jacket designed for exceptional performance and durability in clothing applications.,CAT003,100,7.0
PROD010,Car Wax,Lawrence-Carney,Khaki,1.36,1.21,0.93,7.53,247.92,1,91.0,A premium quality Car Wax designed for exceptional performance and durability in automotive applications.,CAT008,100,9.0
PROD011,Dash Cam,Morrison-Poole,BurlyWood,1.39,0.29,0.46,0.42,216.24,1,97.0,A premium quality Dash Cam designed for exceptional performance and durability in automotive applications.,CAT008,100,3.0
PROD012,Headphones,Johnson-Jones,GoldenRod,0.12,1.76,1.23,5.03,961.82,1,94.0,A premium quality Headphones designed for exceptional performance and durability in electronics applications.,CAT001,100,6.0
PROD013,Conditioner,"Warren, Francis and Carr",FireBrick,0.28,0.25,0.13,8.22,60.23,1,93.0,A premium quality Conditioner designed for exceptional performance and durability in beauty applications.,CAT007,100,7.0
PROD014,Cookbook,Johnson-Boyd,MediumOrchid,0.05,0.17,0.08,1.26,21.53,1,92.0,A premium quality Cookbook designed for exceptional performance and durability in books applications.,CAT002,100,8.0
PROD015,Router,Little Ltd,Green,0.62,0.55,1.0,2.43,208.33,1,92.0,A premium quality Router designed for exceptional performance and durability in electronics applications.,CAT001,100,8.0
PROD016,Microwave,"Walls, Robinson and Lam",CadetBlue,1.1,0.77,0.61,9.57,121.32,2,95.0,A premium quality Microwave designed for exceptional performance and durability in home applications.,CAT004,100,5.0
PROD017,Car Cover,Newman-Mckinney,Thistle,0.1,1.81,0.48,2.16,161.34,5,94.0,A premium quality Car Cover designed for exceptional performance and durability in automotive applications.,CAT008,100,6.0
PROD018,Science Textbook,Campbell-Berry,NavajoWhite,0.05,0.14,0.15,7.09,43.21,1,97.0,A premium quality Science Textbook designed for exceptional performance and durability in books applications.,CAT002,100,3.0
PROD019,Coffee Table,Baker and Sons,Chocolate,1.37,1.87,0.96,1.62,141.91,1,94.0,A premium quality Coffee Table designed for exceptional performance and durability in home applications.,CAT004,100,6.0
PROD020,Curtains,Beltran Inc,MintCream,1.57,1.48,0.91,8.83,374.63,5,95.0,A premium quality Curtains designed for exceptional performance and durability in home applications.,CAT004,100,5.0
PROD021,Tennis Racket,Barnes-Watts,FireBrick,0.69,1.43,0.22,1.23,208.46,1,91.0,A premium quality Tennis Racket designed for exceptional performance and durability in sports applications.,CAT006,100,9.0
PROD022,Car Cover,Alvarez-Martin,Tomato,0.24,1.08,1.21,1.64,72.06,5,95.0,A premium quality Car Cover designed for exceptional performance and durability in automotive applications.,CAT008,100,5.0
PROD023,Bicycle Helmet,"Price, Charles and Lee",CornflowerBlue,0.91,1.23,0.69,0.44,241.41,1,94.0,A premium quality Bicycle Helmet designed for exceptional performance and durability in sports applications.,CAT006,100,6.0
PROD024,Action Figure,"Cunningham, Taylor and Soto",PaleVioletRed,0.32,0.85,0.32,5.26,84.52,1,85.0,A premium quality Action Figure designed for exceptional performance and durability in toys applications.,CAT005,100,15.0
